English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Indonesian Word
adventure	0	1	0	0	0	0	1	0	0	0	petualangan
adversary	1	0	0	0	0	1	0	0	0	0	musuh
adverse	1	0	1	1	0	1	0	1	0	0	merugikan
adversity	1	0	0	1	0	1	0	1	0	0	kesulitan
advice	0	0	0	0	0	0	0	0	0	1	nasihat
advisable	0	0	0	0	0	0	1	0	0	1	sebaiknya
advise	0	0	0	0	0	0	1	0	0	1	menasihati
advised	0	0	0	0	0	0	0	0	0	1	disarankan
adviser	0	0	0	0	0	0	1	0	0	1	penasihat
advocacy	1	1	0	0	1	0	1	0	0	1	pembelaan
advocate	0	0	0	0	0	0	0	0	0	1	menganjurkan
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
affection	0	0	0	0	1	0	1	0	0	1	kasih sayang
affirm	0	0	0	0	0	0	1	0	0	1	menegaskan
affirmatively	0	0	0	0	0	0	1	0	0	1	dengan tegas
afflict	0	0	0	1	0	1	0	1	0	0	menimpa
affliction	0	0	1	1	0	1	0	1	0	0	penderitaan
affluence	0	0	0	0	1	0	1	0	0	0	kemakmuran
affront	1	0	1	1	0	1	0	1	1	0	penghinaan
afraid	0	0	0	1	0	1	0	0	0	0	takut
aftermath	1	0	1	1	0	1	0	1	0	0	akibat
aga	0	0	0	1	0	0	1	0	0	1	lagi
aggravated	1	0	0	0	0	1	0	0	0	0	diperparah
aggravating	1	0	0	0	0	1	0	1	0	0	memberatkan
aggravation	1	0	1	0	0	1	0	0	0	0	kejengkelan
aggression	1	0	0	1	0	1	0	0	0	0	agresi
aggressive	1	0	0	1	0	1	0	0	0	0	agresif
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	terperanjat
agitated	1	0	0	0	0	1	0	0	0	0	gelisah
agitation	1	0	0	0	0	1	0	0	0	0	agitasi
agonizing	0	0	0	1	0	1	0	0	0	0	menyiksa
agony	1	0	0	1	0	1	0	1	0	0	rasa sakit
agreeable	0	0	0	0	0	0	1	0	0	1	menyenangkan
agreed	0	0	0	0	0	0	1	0	0	1	sepakat
agreeing	0	0	0	0	0	0	1	0	0	1	setuju
agreement	0	0	0	0	0	0	1	0	0	1	persetujuan
ail	0	0	0	0	0	1	0	1	0	0	bersakit
ailing	0	0	0	1	0	1	0	1	0	0	sakit
airport	0	1	0	0	0	0	0	0	0	0	Bandara
airs	0	0	1	0	0	1	0	0	0	0	mengudara
akin	0	0	0	0	0	0	0	0	0	1	mirip
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	menggelisahkan
alb	0	0	0	0	0	0	0	0	0	1	alb
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholisme
alertness	0	1	0	1	0	0	1	0	1	0	kewaspadaan
alerts	0	1	0	1	0	0	0	0	1	0	peringatan
alien	0	0	1	1	0	1	0	0	0	0	asing
alienate	1	0	1	0	0	1	0	0	0	0	menjauhkan
alienated	0	0	0	0	0	1	0	1	0	0	terasing
alienation	1	0	1	1	0	1	0	1	0	0	pengasingan
alive	0	1	0	0	1	0	1	0	0	1	hidup
allegation	1	0	0	0	0	1	0	0	0	0	tuduhan
allegiance	0	0	0	0	0	0	1	0	0	1	kesetiaan
alliance	0	0	0	0	0	0	0	0	0	1	persekutuan
allied	0	0	0	0	0	0	1	0	0	1	bersekutu
allure	0	1	0	0	1	0	1	0	1	0	daya tarik
ally	0	0	0	0	0	0	1	0	0	1	sekutu
aloha	0	1	0	0	1	0	1	0	0	0	aloha
altercation	1	0	0	0	0	1	0	0	0	0	pertengkaran
amaze	0	0	0	0	0	0	0	0	1	0	menakjubkan
amazingly	0	0	0	0	1	0	1	0	1	0	luar biasa
ambassador	0	0	0	0	0	0	1	0	0	1	duta besar
ambition	0	1	0	0	1	0	1	0	0	1	ambisi
ambulance	0	0	0	1	0	0	0	0	0	1	ambulans
ambush	1	0	0	1	0	1	0	0	1	0	penyergapan
amen	0	0	0	0	1	0	1	0	0	1	Amin
amicable	0	0	0	0	1	0	1	0	0	0	ramah tamah
ammonia	0	0	1	0	0	0	0	0	0	0	amonia
amnesty	0	0	0	0	1	0	1	0	0	0	amnesti
amortization	0	0	0	0	0	0	0	0	0	1	amortisasi
amour	0	1	0	0	1	0	1	0	0	1	cinta
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamin
amuse	0	0	0	0	1	0	1	0	0	0	menghibur
amused	0	0	0	0	1	0	1	0	0	0	terhibur
amusement	0	0	0	0	1	0	1	0	0	0	hiburan
amusing	0	0	0	0	1	0	1	0	0	0	menyenangkan
anaconda	0	0	1	1	0	1	0	0	0	0	anakonda
analyst	0	1	0	0	0	0	1	0	0	1	analis
anarchism	1	0	0	1	0	1	0	0	0	0	anarkisme
anarchist	1	0	0	1	0	1	0	0	0	0	anarkis
anarchy	1	0	0	1	0	1	0	0	0	0	anarki
anathema	1	0	1	1	0	1	0	1	0	0	laknat
ancestral	0	0	0	0	0	0	0	0	0	1	leluhur
anchorage	0	0	0	0	0	0	1	1	0	0	pelabuhan
angel	0	1	0	0	1	0	1	0	1	1	malaikat
angelic	0	0	0	0	1	0	1	0	0	1	seperti malaikat
anger	1	0	0	0	0	1	0	0	0	0	amarah
angina	0	0	0	1	0	1	0	0	0	0	angina
angling	0	1	0	0	0	1	0	0	0	0	memancing
angry	1	0	1	0	0	1	0	0	0	0	marah
anguish	1	0	0	1	0	1	0	1	0	0	derita
animated	0	0	0	0	1	0	1	0	0	0	animasi
animosity	1	0	1	1	0	1	0	1	0	0	kebencian
animus	1	0	0	0	0	1	0	0	0	0	kebencian
annihilate	1	0	0	1	0	1	0	0	0	0	membinasakan
annihilated	1	0	0	1	0	1	0	1	0	0	musnah
annihilation	1	0	0	1	0	1	0	1	0	0	penghancuran
announcement	0	1	0	0	0	0	0	0	0	0	pengumuman
annoy	1	0	1	0	0	1	0	0	0	0	mengganggu
annoyance	1	0	1	0	0	1	0	0	0	0	gangguan
annoying	1	0	0	0	0	1	0	0	0	0	mengganggu
annulment	0	0	0	0	0	1	0	1	0	0	pembatalan
anomaly	0	0	0	1	0	1	0	0	1	0	anomali
answerable	0	0	0	0	0	0	0	0	0	1	jawab
antagonism	1	0	0	0	0	1	0	0	0	0	antagonisme
antagonist	1	0	0	0	0	1	0	0	0	0	antagonis
antagonistic	1	0	1	0	0	1	0	0	0	0	bermusuhan
anthrax	0	0	1	1	0	1	0	1	0	0	antraks
antichrist	1	0	1	1	0	1	0	0	0	0	antikristus
anticipation	0	1	0	0	0	0	0	0	0	0	antisipasi
anticipatory	0	1	0	0	0	0	0	0	0	0	antisipatif
antidote	0	1	0	0	0	0	1	0	0	1	penangkal
antifungal	0	0	0	0	0	0	1	0	0	1	antijamur
antipathy	1	0	1	0	0	1	0	0	0	0	antipati
antiseptic	0	0	0	0	0	0	1	0	0	1	antiseptik
antisocial	1	0	1	1	0	1	0	1	0	0	antisosial
antithesis	1	0	0	0	0	1	0	0	0	0	antitesis
anxiety	1	1	0	1	0	1	0	1	0	0	kecemasan
anxious	0	1	0	1	0	1	0	0	0	0	cemas
apache	0	0	0	1	0	1	0	0	0	0	apache
apathetic	0	0	0	0	0	1	0	1	0	0	apatis
apathy	0	0	0	0	0	1	0	1	0	0	apati
aphid	0	0	1	0	0	1	0	0	0	0	kutu
apologetic	0	0	0	0	0	0	1	0	0	1	minta maaf
apologize	0	0	0	0	0	0	1	1	0	1	meminta maaf
apostle	0	0	0	0	0	0	1	0	0	1	rasul
apostolic	0	0	0	0	0	0	0	0	0	1	apostolik
appalling	0	0	1	1	0	1	0	0	0	0	mengerikan
apparition	0	0	0	1	0	0	0	0	1	0	penampakan
appeal	0	1	0	0	0	0	0	0	0	0	menarik
appendicitis	0	0	0	1	0	1	0	1	0	0	radang usus buntu
applause	0	0	0	0	1	0	1	0	1	1	tepuk tangan
applicant	0	1	0	0	0	0	0	0	0	0	pemohon
appreciation	0	0	0	0	1	0	1	0	0	1	apresiasi
apprehend	0	0	0	1	0	0	0	0	0	0	menangkap
apprehension	0	0	0	1	0	1	0	0	0	0	penangkapan
apprehensive	0	1	0	1	0	1	0	0	0	0	gelisah
apprentice	0	0	0	0	0	0	0	0	0	1	anak magang
approaching	0	1	0	0	0	0	0	0	0	0	mendekati
approbation	0	0	0	0	0	0	1	0	0	1	persetujuan
approve	0	0	0	0	1	0	1	0	0	1	menyetujui
arbiter	0	0	0	0	0	0	0	0	0	1	wasit
arbitration	0	1	0	0	0	0	0	0	0	0	arbitrasi
arbitrator	0	0	0	0	0	0	0	0	0	1	wasit
archaeology	0	1	0	0	0	0	1	0	0	0	arkeologi
architecture	0	0	0	0	0	0	0	0	0	1	Arsitektur
ardent	0	1	0	0	1	0	1	0	0	0	bersemangat
argue	1	0	0	0	0	1	0	0	0	0	membantah
argument	1	0	0	0	0	1	0	0	0	0	argumen
argumentation	1	0	0	0	0	0	0	0	0	0	argumentasi
arguments	1	0	0	0	0	0	0	0	0	0	argumen
arid	0	0	0	0	0	1	0	1	0	0	kering
armament	1	0	0	1	0	0	0	0	0	0	persenjataan
armaments	0	0	0	1	0	1	0	0	0	0	persenjataan
armed	1	0	0	1	0	1	1	0	0	0	bersenjata
armor	0	0	0	1	0	0	1	0	0	1	baju zirah
armored	0	0	0	1	0	0	0	0	0	0	lapis baja
armory	0	0	0	0	0	0	0	0	0	1	gudang senjata
arouse	0	1	0	0	0	0	1	0	0	0	membangkitkan
arraignment	1	0	0	1	0	1	0	1	0	0	dakwaan
arrival	0	1	0	0	0	0	0	0	0	0	kedatangan
arrive	0	1	0	0	0	0	0	0	0	0	tiba
arrogant	1	0	1	0	0	1	0	0	0	0	arogan
arsenic	0	0	1	1	0	1	0	1	0	0	arsenik
arson	1	0	0	1	0	1	0	0	0	0	pembakaran
art	0	1	0	0	1	0	1	1	1	0	seni
artillery	0	0	0	1	0	1	0	0	0	0	artileri
ashamed	0	0	1	0	0	1	0	1	0	0	malu
ashes	0	0	0	0	0	1	0	1	0	0	abu
asp	0	0	0	1	0	0	0	0	0	0	asp
aspiration	0	1	0	0	1	0	1	0	1	1	aspirasi
aspire	0	1	0	0	1	0	1	0	0	0	bercita-cita
aspiring	0	1	0	0	1	0	1	0	0	1	bercita-cita
assail	1	0	0	1	0	1	0	0	1	0	menyerang
assailant	1	0	0	1	0	1	0	1	0	0	penyerang
assassin	1	0	0	1	0	1	0	1	0	0	pembunuh
assassinate	1	0	0	1	0	1	0	0	0	0	membunuh
assassination	1	0	0	1	0	1	0	1	0	0	pembunuhan
assault	1	0	0	1	0	1	0	0	0	0	serangan
assembly	0	0	0	0	0	0	1	0	0	1	perakitan
asserting	0	0	0	0	0	0	1	0	0	1	menegaskan
assessment	0	0	0	0	0	0	0	0	1	1	penilaian
assessor	0	0	0	0	0	0	0	0	0	1	penilai
asshole	1	0	1	0	0	1	0	0	0	0	bajingan
assignee	0	0	0	0	0	0	0	0	0	1	penerima tugas
assist	0	0	0	0	0	0	1	0	0	1	membantu
associate	0	0	0	0	0	0	1	0	0	1	rekan
association	0	0	0	0	0	0	0	0	0	1	asosiasi
assurance	0	0	0	0	0	0	1	0	0	1	jaminan
assure	0	0	0	0	0	0	0	0	0	1	memastikan
assured	0	0	0	0	0	0	1	0	0	1	terjamin
assuredly	0	0	0	0	0	0	0	0	0	1	pasti
astonishingly	0	0	0	0	0	0	1	0	1	0	secara mengejutkan
astonishment	0	0	0	0	1	0	1	0	1	0	heran
astray	0	0	0	1	0	1	0	0	0	0	sesat
astrologer	0	1	0	0	0	0	1	0	0	0	ahli nujum
astronomer	0	1	0	0	0	0	1	0	0	0	ahli astronomi
asylum	0	0	0	1	0	1	0	0	0	0	suaka
asymmetry	0	0	1	0	0	0	0	0	0	0	asimetri
atherosclerosis	0	0	0	1	0	1	0	1	0	0	aterosklerosis
atone	0	1	0	0	1	0	1	0	0	1	menebus
atrocious	1	0	1	0	0	1	0	0	0	0	mengerikan
atrocity	1	0	1	1	0	1	0	1	0	0	kekejaman
atrophy	0	0	1	1	0	1	0	1	0	0	atrophia
attack	1	0	0	1	0	1	0	0	0	0	menyerang
attacking	1	0	1	1	0	1	0	1	1	0	menyerang
attainable	0	1	0	0	0	0	1	0	0	0	dapat dicapai
attempt	0	1	0	0	0	0	0	0	0	0	percobaan
attendance	0	1	0	0	0	0	0	0	0	0	kehadiran
attendant	0	0	0	0	0	0	1	0	0	1	pembantu
attentive	0	0	0	0	0	0	1	0	0	1	penuh perhatian
attenuation	0	0	0	0	0	1	0	1	0	0	redaman
attest	0	0	0	0	0	0	1	0	0	1	membuktikan
attestation	0	0	0	0	0	0	0	0	0	1	pengesahan
attorney	1	0	0	1	0	0	1	0	0	1	pengacara
auction	0	1	0	0	0	0	0	0	0	0	lelang
audience	0	1	0	0	0	0	0	0	0	0	hadirin
auditor	0	0	0	1	0	0	0	0	0	1	auditor
aunt	0	0	0	0	0	0	1	0	0	1	tante
auspicious	0	1	0	0	1	0	1	0	0	0	menguntungkan
austere	0	0	0	1	0	1	0	1	0	0	keras
authentic	0	0	0	0	1	0	1	0	0	1	autentik
authenticate	0	0	0	0	0	0	0	0	0	1	mengautentikasi
authentication	0	0	0	0	0	0	0	0	0	1	autentikasi
authenticity	0	0	0	0	0	0	1	0	0	1	keaslian
author	0	0	0	0	0	0	1	0	0	1	pengarang
authoritative	0	0	0	0	0	0	1	0	0	1	berwibawa
authorization	0	0	0	0	0	0	1	0	0	1	otorisasi
authorize	0	0	0	0	0	0	0	0	0	1	mengizinkan
automatic	0	0	0	0	0	0	0	0	0	1	otomatis
autopsy	0	0	1	1	0	1	0	1	0	0	autopsi
avalanche	0	0	0	1	0	1	0	1	1	0	salju longsor
avarice	1	0	1	0	0	1	0	0	0	0	ketamakan
avenger	1	0	0	0	0	1	0	0	0	0	pembalas
averse	1	0	1	1	0	1	0	0	0	0	enggan
aversion	1	0	1	1	0	1	0	0	0	0	keengganan
avoid	0	0	0	1	0	1	0	0	0	0	menghindari
avoidance	0	0	0	1	0	1	0	0	0	0	penghindaran
avoiding	0	0	0	1	0	0	0	0	0	0	menghindari
await	0	1	0	0	0	0	0	0	0	0	menunggu
award	0	1	0	0	1	0	1	0	1	1	menghadiahkan
awful	1	0	1	1	0	1	0	1	0	0	buruk sekali
awkwardness	0	0	1	0	0	1	0	0	0	0	kejanggalan
axiom	0	0	0	0	0	0	0	0	0	1	aksioma
axiomatic	0	0	0	0	0	0	0	0	0	1	aksiomatis
baboon	0	0	1	0	0	1	0	0	0	0	babon
baby	0	0	0	0	1	0	1	0	0	0	bayi
babysitter	0	0	0	0	0	0	0	0	0	1	pengasuh anak
backbone	1	0	0	0	0	0	1	0	0	1	tulang punggung
backer	0	0	0	0	0	0	0	0	0	1	penyokong
backwards	0	0	1	0	0	1	0	0	0	0	ke belakang
backwater	0	0	0	0	0	1	0	1	0	0	terpencil
bacteria	0	0	1	1	0	1	0	1	0	0	bakteri
bacterium	0	0	1	1	0	1	0	0	0	0	bakteri
bad	1	0	1	1	0	1	0	1	0	0	buruk
badge	0	0	0	0	0	0	0	0	0	1	lencana
badger	1	0	0	0	0	1	0	0	0	0	luak
badly	0	0	0	0	0	1	0	1	0	0	dengan buruk
badness	1	0	1	1	0	1	0	0	0	0	kejahatan
bailiff	0	0	0	1	0	1	0	0	0	1	juru sita
bait	0	0	0	1	0	1	0	0	0	1	umpan
bale	0	0	0	1	0	1	0	0	0	0	bal
ballot	0	1	0	0	0	0	1	0	0	1	suara
balm	0	1	0	0	1	1	1	0	0	0	balsem
bane	1	0	1	1	0	1	0	0	0	0	kutukan
bang	1	0	1	1	0	1	0	1	1	0	bang
banger	1	1	0	1	0	1	0	0	1	0	banger
banish	1	0	1	1	0	1	0	1	0	0	membuang
banished	1	0	0	1	0	1	0	1	0	0	dibuang
banishment	1	0	1	0	0	1	0	1	0	0	pembuangan
bank	0	0	0	0	0	0	0	0	0	1	bank
banker	0	0	0	0	0	0	0	0	0	1	bankir
bankrupt	0	0	0	1	0	1	0	1	0	0	bangkrut
bankruptcy	1	0	1	1	0	1	0	1	0	0	kebangkrutan
banquet	0	1	0	0	1	0	1	0	0	0	perjamuan
banshee	1	0	1	1	0	1	0	1	0	0	banshee
baptismal	0	0	0	0	1	0	1	0	0	0	pembaptisan
barb	1	0	0	0	0	1	0	0	0	0	duri
barbarian	0	0	0	1	0	1	0	0	0	0	barbar
barbaric	1	0	1	1	0	1	0	0	0	0	biadab
barf	0	0	1	0	0	0	0	0	0	0	muntah
bargain	0	0	0	0	0	0	1	0	0	1	tawar-menawar
bark	1	0	0	0	0	1	0	0	0	0	kulit pohon
barren	0	0	0	0	0	1	0	1	0	0	tandus
barricade	0	0	0	1	0	1	0	0	0	0	barikade
barrier	1	0	0	0	0	1	0	0	0	0	penghalang
barrow	0	0	1	0	0	0	0	0	0	0	gerobak dorong
bartender	0	0	0	0	0	0	0	0	0	1	pelayan bar
barter	0	0	0	0	0	0	0	0	0	1	barter
base	0	0	0	0	0	0	0	0	0	1	basis
basketball	0	1	0	0	1	0	1	0	0	0	bola basket
bastard	0	0	1	0	0	1	0	1	0	0	bajingan
bastion	1	0	0	0	0	0	1	0	0	0	benteng pertahanan
battalion	1	0	0	0	0	0	0	0	0	0	batalyon
batter	1	0	0	1	0	1	0	0	0	0	adonan
battered	0	0	0	1	0	1	0	1	0	0	babak belur
battery	1	0	0	0	0	1	0	0	0	0	baterai
battle	1	0	0	0	0	1	0	0	0	0	pertarungan
battled	1	0	0	1	0	1	0	1	0	0	berjuang
battlefield	0	0	0	1	0	1	0	0	0	0	medan perang
bayonet	1	0	0	1	0	1	0	0	0	0	bayonet
beach	0	0	0	0	1	0	0	0	0	0	pantai
beam	0	0	0	0	1	0	1	0	0	0	balok
beaming	0	1	0	0	1	0	1	0	0	0	berseri-seri
bear	1	0	0	1	0	0	0	0	0	0	beruang
bearish	1	0	0	1	0	0	0	0	0	0	kasar
beast	1	0	0	1	0	1	0	0	0	0	binatang buas
beastly	0	0	1	1	0	1	0	0	0	0	jijik
beating	1	0	0	1	0	1	0	1	0	0	mengalahkan
beautification	0	0	0	0	1	0	1	0	0	1	kecantikan
beautiful	0	0	0	0	1	0	1	0	0	0	Cantik
beautify	0	0	0	0	1	0	1	0	0	0	mempercantik
beauty	0	0	0	0	1	0	1	0	0	0	Kecantikan
bedrock	0	0	0	0	0	0	1	0	0	1	batuan dasar
bee	1	0	0	1	0	0	0	0	0	0	lebah
beer	0	0	0	0	1	0	1	0	0	0	Bir
befriend	0	0	0	0	1	0	1	0	0	1	berteman
beg	0	0	0	0	0	1	0	1	0	0	mengemis
beggar	0	0	0	0	0	1	0	1	0	0	pengemis
begun	0	1	0	0	0	0	0	0	0	0	dimulai
behemoth	0	0	0	1	0	1	0	0	0	0	raksasa binatang
believed	0	0	0	0	0	0	0	0	0	1	percaya
believer	0	0	0	0	0	0	0	0	0	1	orang percaya
believing	0	0	0	0	0	0	1	0	0	1	percaya
belittle	1	0	1	1	0	1	0	1	0	0	meremehkan
belligerent	1	0	0	1	0	1	0	0	0	0	berperang
bellows	1	0	0	0	0	0	0	0	0	0	puputan
belt	1	0	0	1	0	1	0	0	0	0	sabuk
benefactor	0	0	0	0	0	0	1	0	0	1	dermawan
benevolence	0	0	0	0	1	0	1	0	0	1	kebajikan
benign	0	0	0	0	1	0	1	0	0	0	jinak
bequest	0	0	0	0	0	0	0	0	0	1	warisan
bereaved	0	0	0	0	0	1	0	1	0	0	berduka
bereavement	0	0	0	0	0	1	0	1	0	0	kehilangan
berserk	1	0	0	0	0	1	0	0	0	0	mengamuk
bestial	0	0	1	1	0	1	0	0	0	0	kejam
betray	1	0	1	0	0	1	0	1	1	0	mengkhianati
betrayal	1	0	1	0	0	1	0	1	0	0	pengkhianatan
betrothed	0	1	0	0	1	0	1	0	0	1	bertunangan
beware	0	1	0	1	0	1	0	0	0	0	awas
bewildered	0	0	0	1	0	1	0	0	1	0	bingung
bewilderment	0	0	0	1	0	0	0	0	1	0	kebingungan
bias	1	0	0	0	0	1	0	0	0	0	bias
bickering	1	0	1	0	0	1	0	0	0	0	pertengkaran
biennial	0	1	0	0	0	0	0	0	0	0	dua tahunan
bier	0	0	0	1	0	1	0	1	0	0	usungan jenazah
bigot	1	0	1	1	0	1	0	0	0	0	fanatik
bigoted	1	0	1	1	0	1	0	1	0	0	fanatik
bile	1	0	1	0	0	1	0	0	0	0	empedu
biopsy	0	0	0	1	0	1	0	0	0	0	biopsi
birch	1	0	1	1	0	1	0	0	0	0	Birch
birth	0	1	0	1	1	0	1	0	0	1	kelahiran
birthday	0	1	0	0	1	0	1	0	1	0	hari ulang tahun
birthplace	1	0	0	0	0	1	0	0	0	0	tempat lahir
bitch	1	0	1	1	0	1	0	1	0	0	jalang
bitterly	1	0	1	0	0	1	0	1	0	0	dengan pahit
bitterness	1	0	1	0	0	1	0	1	0	0	kepahitan
bizarre	0	0	0	0	0	1	0	0	1	0	aneh
blackmail	1	0	0	1	0	1	0	0	0	0	pemerasan
blackness	0	0	0	1	0	1	0	1	0	0	kegelapan
blame	1	0	1	0	0	1	0	0	0	0	menyalahkan
blanket	0	0	0	0	0	0	0	0	0	1	selimut
blasphemous	1	0	1	0	0	1	0	0	0	0	menghujat
blasphemy	1	0	0	0	0	1	0	0	0	0	penistaan
blast	1	0	0	1	0	1	0	0	1	0	ledakan
blatant	1	0	1	0	0	1	0	0	0	0	menyolok
blaze	1	0	0	0	0	1	0	0	0	0	api
bleak	0	0	0	0	0	1	0	1	0	0	suram
bleeding	0	0	1	1	0	1	0	1	0	0	berdarah
blemish	1	0	1	1	0	1	0	1	0	0	cacat
bless	0	1	0	0	1	0	1	0	0	1	memberkati
blessed	0	0	0	0	1	0	1	0	0	0	diberkati
blessing	0	1	0	0	1	0	1	0	0	1	anugerah
blessings	0	1	0	0	1	0	1	0	1	1	berkah
blight	0	0	1	1	0	1	0	1	0	0	hawar
blighted	0	0	1	0	0	1	0	1	0	0	rusak
blindfold	0	1	0	1	0	0	0	0	1	0	menutup mata
blindly	0	0	0	0	0	1	0	1	0	0	membabi buta
blindness	0	0	0	0	0	1	0	1	0	0	kebutaan
bliss	0	0	0	0	1	0	1	0	0	0	kebahagiaan
blissful	0	0	0	0	1	0	1	0	0	0	bahagia
blister	0	0	1	0	0	1	0	0	0	0	lepuh
blitz	0	0	0	0	0	0	0	0	1	0	menggempur
bloated	0	0	1	0	0	1	0	0	0	0	bengkak
blob	0	0	1	1	0	1	0	0	0	0	gumpal
blockade	1	0	0	1	0	1	0	1	0	0	blokade
bloodshed	1	0	1	1	0	1	0	1	1	0	pertumpahan darah
bloodthirsty	1	0	1	1	0	1	0	0	0	0	haus darah
bloody	1	0	1	1	0	1	0	1	0	0	berdarah
bloom	0	1	0	0	1	0	1	0	0	1	bunga
blossom	0	0	0	0	1	0	1	0	0	0	mekar
blue	0	0	0	0	0	0	0	1	0	0	biru
blues	0	0	0	1	0	1	0	1	0	0	biru
blunder	0	0	1	0	0	1	0	1	0	0	kekeliruan
board	0	1	0	0	0	0	0	0	0	0	papan
bodyguard	0	0	0	0	0	0	1	0	0	1	pengawal
bogus	1	0	1	0	0	1	0	0	0	0	palsu
boil	0	0	1	0	0	1	0	0	0	0	mendidihkan
boisterous	1	1	0	0	1	1	1	0	0	0	riuh
bomb	1	0	0	1	0	1	0	1	1	0	bom
